TrueLabel,Prediction,ReconstructionError
BENIGN,BENIGN,0.04333323410061618
BENIGN,BENIGN,0.043326289414151606
BENIGN,BENIGN,0.043330369888877056
BENIGN,BENIGN,0.043982757792158204
BENIGN,BENIGN,0.043333367400733167
BENIGN,BENIGN,0.043577886690001844
BENIGN,BENIGN,0.04324010565596563
BENIGN,BENIGN,0.04541627697201055
BENIGN,BENIGN,0.04345471518408665
BENIGN,BENIGN,0.04406991310136824
BENIGN,BENIGN,0.044314838976621314
BENIGN,BENIGN,0.04329746401427674
BENIGN,BENIGN,0.044069739932862166
BENIGN,BENIGN,0.04369110689360478
BENIGN,BENIGN,0.04188807056931154
BENIGN,BENIGN,0.040361046995816184
BENIGN,BENIGN,0.04056385159166889
BENIGN,BENIGN,0.04036091438043909
BENIGN,BENIGN,0.04056480065446786
BENIGN,BENIGN,0.040562368547675545
BENIGN,BENIGN,0.04077197922946432
BENIGN,BENIGN,0.040360847952637266
BENIGN,BENIGN,0.04477122492648912
BENIGN,BENIGN,0.044515338784497274
BENIGN,BENIGN,0.043823361630322216
BENIGN,BENIGN,0.043268153578439966
BENIGN,BENIGN,0.04128618284269559
BENIGN,BENIGN,0.047676632530818976
BENIGN,BENIGN,0.04409599502668351
BENIGN,BENIGN,0.04432604665665982
BENIGN,BENIGN,0.044330061726616465
BENIGN,BENIGN,0.04363034930493448
BENIGN,BENIGN,0.04432903181053249
BENIGN,BENIGN,0.04433294177696758
BENIGN,BENIGN,0.044333614486695656
BENIGN,BENIGN,0.047644656703750406
BENIGN,BENIGN,0.0447238351658905
BENIGN,BENIGN,0.04472327632120101
BENIGN,BENIGN,0.043084033224511334
BENIGN,BENIGN,0.0431245942784596
BENIGN,BENIGN,0.04312148586592384
BENIGN,BENIGN,0.0431216677830857
BENIGN,BENIGN,0.047104760817107495
BENIGN,BENIGN,0.04350068530752379
BENIGN,BENIGN,0.043492916038295366
BENIGN,BENIGN,0.04373337424583838
BENIGN,BENIGN,0.04343124711891772
BENIGN,BENIGN,0.0436655379410551
BENIGN,BENIGN,0.043435720586717616
BENIGN,BENIGN,0.043111819564223795
BENIGN,BENIGN,0.043112602990921095
BENIGN,BENIGN,0.0435199135750742
BENIGN,BENIGN,0.04318656406848987
BENIGN,BENIGN,0.04022105272910736
BENIGN,BENIGN,0.04318550394719152
BENIGN,BENIGN,0.04330414234096295
BENIGN,BENIGN,0.04306343301624311
BENIGN,BENIGN,0.043394409167901035
BENIGN,BENIGN,0.040664252288861356
BENIGN,BENIGN,0.043463405440126585
BENIGN,BENIGN,0.04204179795985112
BENIGN,BENIGN,0.04475826540893257
BENIGN,BENIGN,0.04475866613753892
BENIGN,BENIGN,0.043485362255751496
BENIGN,BENIGN,0.04323120546635656
BENIGN,BENIGN,0.04354239172798024
BENIGN,BENIGN,0.043456563709782424
BENIGN,BENIGN,0.04323661883266596
BENIGN,BENIGN,0.04392380668520102
BENIGN,BENIGN,0.04346652449647252
BENIGN,BENIGN,0.04347393989400524
BENIGN,BENIGN,0.043384963151861904
BENIGN,BENIGN,0.043875491574599676
BENIGN,BENIGN,0.043248658972820785
BENIGN,BENIGN,0.04287401103779979
BENIGN,BENIGN,0.04312638959058395
BENIGN,BENIGN,0.04151197869872849
BENIGN,BENIGN,0.040821776657792165
BENIGN,BENIGN,0.040272614950809915
BENIGN,BENIGN,0.04045865065056356
BENIGN,ATTACK,0.0789169777043
BENIGN,ATTACK,0.07945796747971468
BENIGN,BENIGN,0.04428442441970363
BENIGN,BENIGN,0.04428444540783364
BENIGN,BENIGN,0.044304403053334725
BENIGN,BENIGN,0.04428311451148981
BENIGN,BENIGN,0.04428491222874282
BENIGN,BENIGN,0.05970393111231594
BENIGN,BENIGN,0.044954139797409025
BENIGN,ATTACK,0.06518403736640321
BENIGN,ATTACK,0.07902893059327669
BENIGN,BENIGN,0.040179239064578834
BENIGN,BENIGN,0.042849173125653776
BENIGN,BENIGN,0.04267802103708598
BENIGN,BENIGN,0.043750969447317434
BENIGN,BENIGN,0.0437509719359401
BENIGN,BENIGN,0.05029857368004939
BENIGN,BENIGN,0.04379107300796438
BENIGN,BENIGN,0.043192799870717294
BENIGN,BENIGN,0.04231586654193441
BENIGN,BENIGN,0.04232602807859747
BENIGN,BENIGN,0.04145685151923777
BENIGN,BENIGN,0.044983057406365504
BENIGN,BENIGN,0.04508263909168154
BENIGN,BENIGN,0.04367964553990741
BENIGN,BENIGN,0.04382109495939205
BENIGN,BENIGN,0.04059789459792493
BENIGN,BENIGN,0.041725612844425254
BENIGN,BENIGN,0.042684764296977734
BENIGN,BENIGN,0.04076326732048823
BENIGN,BENIGN,0.04268331940681338
BENIGN,BENIGN,0.04076311736312682
BENIGN,BENIGN,0.047042537072094825
BENIGN,BENIGN,0.047511875096948916
BENIGN,BENIGN,0.04749835008693807
BENIGN,BENIGN,0.04740132754698553
BENIGN,BENIGN,0.047674732070935436
BENIGN,BENIGN,0.044831978394138515
BENIGN,BENIGN,0.05194341349962932
BENIGN,BENIGN,0.04734834185440748
BENIGN,BENIGN,0.04738811318334192
BENIGN,BENIGN,0.044826790482270305
BENIGN,BENIGN,0.04725388701797984
BENIGN,BENIGN,0.047088433580841145
BENIGN,BENIGN,0.047375799949566935
BENIGN,BENIGN,0.04721123597207613
BENIGN,BENIGN,0.047343445741663846
BENIGN,BENIGN,0.04686646992292703
BENIGN,BENIGN,0.047326701198628474
BENIGN,BENIGN,0.047554625832871726
BENIGN,BENIGN,0.0470870775901482
BENIGN,BENIGN,0.04503696687026669
BENIGN,BENIGN,0.04711206407380968
BENIGN,BENIGN,0.04723778958085864
BENIGN,BENIGN,0.04455635925032446
BENIGN,BENIGN,0.04726450452445124
BENIGN,BENIGN,0.047403380728188026
BENIGN,BENIGN,0.047222326938849424
BENIGN,BENIGN,0.047283891037591425
BENIGN,BENIGN,0.047161665749677964
BENIGN,BENIGN,0.047464276542327655
BENIGN,BENIGN,0.04722732089475549
BENIGN,BENIGN,0.04754350115758096
BENIGN,BENIGN,0.04727721885179878
BENIGN,BENIGN,0.047011822948515754
BENIGN,BENIGN,0.04455227508730781
BENIGN,BENIGN,0.04734342561269898
BENIGN,BENIGN,0.04756250263285395
BENIGN,BENIGN,0.045694356313038045
BENIGN,BENIGN,0.047285162010518016
BENIGN,BENIGN,0.04752010682745338
BENIGN,BENIGN,0.047524719370891984
BENIGN,BENIGN,0.04734633746420459
BENIGN,BENIGN,0.04696587681031261
BENIGN,BENIGN,0.04745338997494645
BENIGN,BENIGN,0.0473901303635741
BENIGN,BENIGN,0.04444361733759276
BENIGN,BENIGN,0.047497898240242906
BENIGN,BENIGN,0.04755019959556811
BENIGN,BENIGN,0.047024910145423995
BENIGN,BENIGN,0.04712433219846789
BENIGN,BENIGN,0.047221963620168235
BENIGN,BENIGN,0.047682283831482396
BENIGN,BENIGN,0.047360236372470915
BENIGN,BENIGN,0.047007798612970254
BENIGN,BENIGN,0.04733289064471249
BENIGN,BENIGN,0.04715787905479529
BENIGN,BENIGN,0.0476002244034977
BENIGN,BENIGN,0.046960995982441044
BENIGN,BENIGN,0.04720054807206122
BENIGN,BENIGN,0.04760367088591908
BENIGN,BENIGN,0.04731802160410006
BENIGN,BENIGN,0.044171375849104175
BENIGN,BENIGN,0.04729557489930145
BENIGN,BENIGN,0.047360152079642545
BENIGN,BENIGN,0.04784160701759344
BENIGN,BENIGN,0.04710409457242488
BENIGN,BENIGN,0.04764113795062263
BENIGN,BENIGN,0.047165436288661655
BENIGN,BENIGN,0.046971159014650835
BENIGN,BENIGN,0.04611286301619157
BENIGN,BENIGN,0.04491690951965108
BENIGN,BENIGN,0.04708899452295412
BENIGN,BENIGN,0.05150009195516044
BENIGN,BENIGN,0.047601614054489275
BENIGN,BENIGN,0.04742456494711932
BENIGN,BENIGN,0.04469081539853698
BENIGN,BENIGN,0.04761260753128916
BENIGN,BENIGN,0.047502408374149326
BENIGN,BENIGN,0.0472611337662255
BENIGN,BENIGN,0.04725347531219597
BENIGN,BENIGN,0.04751198705859539
BENIGN,BENIGN,0.04720992228675826
BENIGN,BENIGN,0.047364256864400996
BENIGN,BENIGN,0.047397275034207646
BENIGN,BENIGN,0.04694417585146812
BENIGN,BENIGN,0.04451470144043955
BENIGN,BENIGN,0.04434820991600127
BENIGN,BENIGN,0.051840902389657766
BENIGN,BENIGN,0.047046380682445044
BENIGN,BENIGN,0.04761578362434891
BENIGN,BENIGN,0.04758174822100985
BENIGN,BENIGN,0.047328622547953295
BENIGN,BENIGN,0.047061942500677786
BENIGN,BENIGN,0.04739115985436305
